County,Total civilian noninstitutionalized population
    Percent with a disability,
        Estimate,13.90%
"Barbour County, West Virginia",
    Total,
        Estimate,"15,285"
    With a disability,
        Estimate,"2,574"
    Percent with a disability,
        Estimate,16.80%
"Berkeley County, West Virginia",
    Total,
        Estimate,"128,261"
    With a disability,
        Estimate,"18,320"
    Percent with a disability,
        Estimate,14.30%
"Boone County, West Virginia",
    Total,
        Estimate,"20,822"
    With a disability,
        Estimate,"5,414"
    Percent with a disability,
        Estimate,26.00%
"Braxton County, West Virginia",
    Total,
        Estimate,"11,755"
    With a disability,
        Estimate,"2,112"
    Percent with a disability,
        Estimate,18.00%
"Brooke County, West Virginia",
    Total,
        Estimate,"21,591"
    With a disability,
        Estimate,"3,682"
    Percent with a disability,
        Estimate,17.10%
"Cabell County, West Virginia",
    Total,
        Estimate,"90,857"
    With a disability,
        Estimate,"17,584"
    Percent with a disability,
        Estimate,19.40%
"Calhoun County, West Virginia",
    Total,
        Estimate,"6,024"
    With a disability,
        Estimate,"1,387"
    Percent with a disability,
        Estimate,23.00%
"Clay County, West Virginia",
    Total,
        Estimate,"7,740"
    With a disability,
        Estimate,"1,621"
    Percent with a disability,
        Estimate,20.90%
"Doddridge County, West Virginia",
    Total,
        Estimate,"6,637"
    With a disability,
        Estimate,"1,069"
    Percent with a disability,
        Estimate,16.10%
"Fayette County, West Virginia",
    Total,
        Estimate,"38,411"
    With a disability,
        Estimate,"8,210"
    Percent with a disability,
        Estimate,21.40%
"Gilmer County, West Virginia",
    Total,
        Estimate,"5,592"
    With a disability,
        Estimate,805
    Percent with a disability,
        Estimate,14.40%
"Grant County, West Virginia",
    Total,
        Estimate,"10,853"
    With a disability,
        Estimate,"1,756"
    Percent with a disability,
        Estimate,16.20%
"Greenbrier County, West Virginia",
    Total,
        Estimate,"31,839"
    With a disability,
        Estimate,"6,241"
    Percent with a disability,
        Estimate,19.60%
"Hampshire County, West Virginia",
    Total,
        Estimate,"22,962"
    With a disability,
        Estimate,"5,682"
    Percent with a disability,
        Estimate,24.70%
"Hancock County, West Virginia",
    Total,
        Estimate,"28,127"
    With a disability,
        Estimate,"5,273"
    Percent with a disability,
        Estimate,18.70%
"Hardy County, West Virginia",
    Total,
        Estimate,"14,186"
    With a disability,
        Estimate,"2,724"
    Percent with a disability,
        Estimate,19.20%
"Harrison County, West Virginia",
    Total,
        Estimate,"64,247"
    With a disability,
        Estimate,"10,992"
    Percent with a disability,
        Estimate,17.10%
"Jackson County, West Virginia",
    Total,
        Estimate,"27,513"
    With a disability,
        Estimate,"6,093"
    Percent with a disability,
        Estimate,22.10%
"Jefferson County, West Virginia",
    Total,
        Estimate,"58,926"
    With a disability,
        Estimate,"7,520"
    Percent with a disability,
        Estimate,12.80%
"Kanawha County, West Virginia",
